,Unnamed: 0,Name,Reign,Date,Belt,DOB,Horoscope,Defeated,Defeated_Horoscope,Love_Percentage
0,0,Bruno Sammartino,1,17-May-63,WWE Championship,06/10,Libra,Buddy Rogers,Pisces,Not a good choice.
1,1,Ivan Koloff,1,18-Jan-71,WWE Championship,25/08,Virgo,Bruno Sammartino,Libra,Can choose someone better.
2,2,Pedro Morales,1,8-Feb-71,WWE Championship,22/10,Libra,Ivan Koloff,Virgo,Can choose someone better.
3,3,Stan Stasiak,1,1-Dec-73,WWE Championship,13/04,Aries,Pedro Morales,Libra,Can choose someone better.
4,4,Bruno Sammartino,2,10-Dec-73,WWE Championship,06/10,Libra,Stan Stasiak,Aries,Not a good choice.
5,5,Bob Backlund,2,17-Dec-79,WWE Championship,14/08,Leo,Bret Hart,Cancer,Not a good choice.
6,6,The Iron Sheik,1,26-Dec-83,WWE Championship,15/03,Pisces,Bob Backlund,Leo,Not a good choice.
7,7,Hulk Hogan,1,23-Jan-84,WWE Championship,11/08,Leo,The Iron Sheik,Pisces,Not a good choice.
8,8,André the Giant,1,5-Feb-88,WWE Championship,19/05,Taurus,Hulk Hogan,Leo,Not a good choice.
9,9,Hulk Hogan,2,2-Apr-89,WWE Championship,11/08,Leo,Randy Savage,Scorpio,Not a good choice.
10,10,Hulk Hogan,3,24-Mar-91,WWE Championship,11/08,Leo,Sgt. Slaughter,Virgo,May be better next time.
11,11,The Undertaker,1,27-Nov-91,WWE Championship,24/03,Aries,Hulk Hogan,Leo,Not a good choice.
12,12,Hulk Hogan,4,3-Dec-91,WWE Championship,11/08,Leo,The Undertaker,Aries,Not a good choice.
13,13,Randy Savage,2,5-Apr-92,WWE Championship,15/11,Scorpio,Ric Flair,Pisces,Not a good choice.
14,14,Ric Flair,2,1-Sep-92,WWE Championship,25/02,Pisces,Randy Savage,Scorpio,Not a good choice.
15,15,Bret Hart,1,12-Oct-92,WWE Championship,02/07,Cancer,Ric Flair,Pisces,Not a good choice.
16,16,Yokozuna,1,4-Apr-93,WWE Championship,02/10,Libra,Bret Hart,Cancer,All the best!
17,17,Hulk Hogan,5,4-Apr-93,WWE Championship,11/08,Leo,Yokozuna,Libra,All the best!
18,18,Yokozuna,2,13-Jun-93,WWE Championship,02/10,Libra,Hulk Hogan,Leo,All the best!
19,19,Bret Hart,2,20-Mar-94,WWE Championship,02/07,Cancer,Yokozuna,Libra,All the best!
20,20,Bob Backlund,2,23-Nov-94,WWE Championship,14/08,Leo,Bret Hart,Cancer,Not a good choice.
21,21,Diesel,1,26-Nov-94,WWE Championship,09/07,Cancer,Bob Backlund,Leo,All the best!
22,22,Bret Hart,3,19-Nov-95,WWE Championship,02/07,Cancer,Diesel,Cancer,All the best!
23,23,Shawn Michaels,1,31-Mar-96,WWE Championship,22/07,Cancer,Bret Hart,Cancer,Not a good choice.
24,24,Sycho Sid,1,17-Nov-96,WWE Championship,16/12,Sagittarius,Shawn Michaels,Cancer,Not a good choice.
25,25,Shawn Michaels,2,19-Jan-97,WWE Championship,22/07,Cancer,Sycho Sid,Sagittarius,Not a good choice.
26,26,Sycho Sid,2,17-Feb-97,WWE Championship,16/12,Sagittarius,Bret Hart,Cancer,Not a good choice.
27,27,The Undertaker,2,23-Mar-97,WWE Championship,24/03,Aries,Sycho Sid,Sagittarius,Not a good choice.
28,28,Bret Hart,5,3-Aug-97,WWE Championship,02/07,Cancer,The Undertaker,Aries,Can choose someone better.
29,29,Shawn Michaels,3,9-Nov-97,WWE Championship,22/07,Cancer,Bret Hart,Cancer,Not a good choice.
30,30,Kane,1,28-Jun-98,WWE Championship,26/04,Taurus,Steve Austin,Sagittarius,All the best!
31,31,The Rock,1,15-Nov-98,WWE Championship,02/05,Taurus,Mankind,Gemini,Can choose someone better.
32,32,Mankind,1,29-Dec-98,WWE Championship,07/06,Gemini,The Rock,Taurus,Can choose someone better.
33,33,The Rock,2,24-Jan-99,WWE Championship,02/05,Taurus,Mankind,Gemini,Can choose someone better.
34,34,Mankind,2,26-Jan-99,WWE Championship,07/06,Gemini,The Rock,Taurus,Can choose someone better.
35,35,The Rock,3,15-Feb-99,WWE Championship,02/05,Taurus,Mankind,Gemini,Can choose someone better.
